CNPJ;UF;Ente Federativo;Regime
16829640000149;MG;Araguari;RGPS
17952508000192;MG;Arantina;RGPS
18132167000171;MG;Araponga;RPPS
23098510000149;MG;Araporã;RPPS
19942895000101;MG;Arapuá;RGPS
18300996000116;MG;Araújos;RGPS
18140756000100;MG;Araxá;RPPS
17899717000110;MG;Arceburgo;RPPS
18306662000150;MG;Arcos;RGPS
18243246000150;MG;Areado;RGPS
17730011000120;MG;Argirita;RGPS
01608511000153;MG;Aricanduva;RGPS
18125120000180;MG;Arinos;RGPS
17702507000190;MG;Astolfo Dutra;RGPS
16971376000183;MG;Ataléia;RGPS
17694845000127;MG;Augusto de Lima;RGPS
18008862000126;MG;Baependi;RPPS
18116129000125;MG;Baldim;RGPS
20920567000193;MG;Bambuí;RPPS
18349902000101;MG;Bandeira;RPPS
18175794000190;MG;Bandeira do Sul;RGPS
18317685000160;MG;Barão de Cocais;RGPS
17947649000117;MG;Barão do Monte Alto;RGPS
17095043000109;MG;Barbacena;RPPS
18316182000170;MG;Barra Longa;RGPS
18094755000168;MG;Barroso;RGPS
18311043000153;MG;Bela Vista de Minas;RGPS
18338129000170;MG;Belmiro Braga;RPPS
18715383000140;MG;Belo Horizonte;RPPS
17005653000166;MG;Belo Oriente;RGPS
18363937000197;MG;Belo Vale;RGPS
17700758000135;MG;Berilo;RGPS
01614602000100;MG;Berizal;RPPS
18404897000184;MG;Bertópolis;RGPS
18715391000196;MG;Betim;RPPS
18094771000150;MG;Bias Fortes;RGPS
17722935000184;MG;Bicas;RGPS
18296640000156;MG;Biquinhas;RPPS
18239590000175;MG;Boa Esperança;RPPS
18194076000160;MG;Bocaina de Minas;RGPS
18803072000132;MG;Bocaiúva;RPPS
18301002000186;MG;Bom Despacho;RPPS
18684217000123;MG;Bom Jardim de Minas;RGPS
18187815000197;MG;Bom Jesus da Penha;RPPS
18317693000106;MG;Bom Jesus do Amparo;RGPS
18334276000171;MG;Bom Jesus do Galho;RGPS
18675892000196;MG;Bom Repouso;RGPS
18244368000160;MG;Bom Sucesso;RPPS
18363945000133;MG;Bonfim;RGPS
18125138000182;MG;Bonfinópolis de Minas;RGPS
01612493000183;MG;Bonito de Minas;RPPS em Extinção
17912023000175;MG;Borda da Mata;RGPS
17847641000189;MG;Botelhos;RGPS
18017418000177;MG;Botumirim;RGPS
18128272000137;MG;Brás Pires;RGPS
01602009000135;MG;Brasilândia de Minas;RGPS
18017442000106;MG;Brasília de Minas;RPPS
18025890000151;MG;Brasópolis;RPPS
18307389000188;MG;Braúnas;RGPS
18363929000140;MG;Brumadinho;RGPS
18940098000122;MG;Bueno Brandão;RGPS
17694852000129;MG;Buenópolis;RGPS
01613126000102;MG;Bugre;RGPS
18125146000129;MG;Buritis;RPPS
18279067000172;MG;Buritizeiro;RPPS
01603707000155;MG;Cabeceira Grande;RPPS
17909599000183;MG;Cabo Verde;RGPS
25004532000128;MG;Cachoeira da Prata;RGPS
18675959000192;MG;Cachoeira de Minas;RGPS
18414599000175;MG;Cachoeira de Pajeú;RGPS
18457267000178;MG;Cachoeira Dourada;RPPS
23221351000128;MG;Caetanópolis;RGPS
18302299000102;MG;Caeté;RGPS
18114256000195;MG;Caiana;RPPS
18132456000170;MG;Cajuri;RGPS
18625129000150;MG;Caldas;RGPS
18308726000151;MG;Camacho;RGPS
17935396000161;MG;Camanducaia;RGPS
18675975000185;MG;Cambuí;RPPS
17955386000198;MG;Cambuquira;RGPS
18404905000192;MG;Campanário;RPPS
18712174000142;MG;Campanha;RPPS
18178400000157;MG;Campestre;RGPS
18457291000107;MG;Campina Verde;RGPS
01612551000179;MG;Campo Azul;RGPS
18659334000137;MG;Campo Belo;RGPS
18239582000129;MG;Campo do Meio;RGPS
18428862000185;MG;Campo Florido;RGPS
18298190000130;MG;Campos Altos;RPPS
18245175000124;MG;Campos Gerais;RPPS
18244426000156;MG;Cana Verde;RGPS
18132712000120;MG;Canaã;RGPS
18457200000133;MG;Canápolis;RGPS
17888090000100;MG;Candeias;RPPS
01617441000108;MG;Cantagalo;RPPS
18114249000193;MG;Caparaó;RPPS
19259951000108;MG;Capela Nova;RGPS
19229921000159;MG;Capelinha;RGPS
17894031000136;MG;Capetinga;RGPS
18314617000147;MG;Capim Branco;RGPS
18457234000128;MG;Capinópolis;RPPS
66229105000125;MG;Capitão Andrade;RGPS
18017426000113;MG;Capitão Enéas;RPPS
16726028000140;MG;Capitólio;RGPS
18385138000111;MG;Caputira;RPPS
18404848000141;MG;Caraí;RGPS
18094789000152;MG;Caranaíba;RGPS
18094797000107;MG;Carandaí;RPPS
19279827000104;MG;Carangola;RPPS
18334268000125;MG;Caratinga;RGPS
21154174000189;MG;Carbonita;RPPS
17935388000115;MG;Careaçu;RGPS
18477315000190;MG;Carlos Chagas;RPPS
18303172000108;MG;Carmésia;RPPS
18240135000190;MG;Carmo da Cachoeira;RGPS
18312967000174;MG;Carmo da Mata;RGPS
18188243000160;MG;Carmo de Minas;RGPS
18291377000102;MG;Carmo do Cajuru;RPPS
18602029000109;MG;Carmo do Paranaíba;RPPS
18243287000146;MG;Carmo do Rio Claro;RGPS
18312983000167;MG;Carmópolis de Minas;RGPS
26042515000148;MG;Carneirinho;RGPS
17953332000193;MG;Carrancas;RGPS
18242800000184;MG;Carvalhópolis;RPPS
18194217000145;MG;Carvalhos;RGPS
18667477000190;MG;Casa Grande;RGPS
18259374000191;MG;Cascalho Rico;RGPS
17894049000138;MG;Cássia;RGPS
17702499000181;MG;Cataguases;RPPS em Extinção
01612370000142;MG;Catas Altas;RGPS
19718378000153;MG;Catas Altas da Noruega;RGPS
26218636000106;MG;Catuji;RGPS
01612502000136;MG;Catuti;RGPS
18008870000172;MG;Caxambu;RPPS
18296657000103;MG;Cedro do Abaeté;RGPS
17990714000197;MG;Central de Minas;RGPS
18260497000142;MG;Centralina;RGPS
18338137000116;MG;Chácara;RGPS
18392548000190;MG;Chalé;RGPS
16886608000103;MG;Chapada do Norte;RGPS
01612489000115;MG;Chapada Gaúcha;RPPS
18338145000162;MG;Chiador;RGPS
18094805000107;MG;Cipotânea;RGPS
17894056000130;MG;Claraval;RGPS
21498274000122;MG;Claro dos Poções;RGPS
18308775000194;MG;Cláudio;RGPS
18132464000117;MG;Coimbra;RPPS
18307397000124;MG;Coluna;RGPS
18449173000157;MG;Comendador Gomes;RPPS
18414615000120;MG;Comercinho;RGPS
18243295000192;MG;Conceição da Aparecida;RGPS
18557587000108;MG;Conceição da Barra de Minas;RGPS
18428854000139;MG;Conceição das Alagoas;RPPS
18025908000115;MG;Conceição das Pedras;RGPS
18334300000172;MG;Conceição de Ipanema;RGPS
18303156000107;MG;Conceição do Mato Dentro;RGPS
18315200000107;MG;Conceição do Pará;RPPS
18008888000174;MG;Conceição do Rio Verde;RGPS
18677609000165;MG;Conceição dos Ouros;RGPS
01612492000139;MG;Cônego Marinho;RGPS
01006232000110;MG;Confins;RGPS
18675967000139;MG;Congonhal;RGPS
16752446000102;MG;Congonhas;RPPS
18303180000146;MG;Congonhas do Norte;RGPS
18428888000123;MG;Conquista;RGPS
19718360000151;MG;Conselheiro Lafaiete;RGPS
19769660000160;MG;Conselheiro Pena;RGPS
18025916000161;MG;Consolação;RGPS
18715508000131;MG;Contagem;RPPS
18239624000121;MG;Coqueiral;RGPS
22680672000128;MG;Coração de Jesus;RPPS
18116137000171;MG;Cordisburgo;RGPS
18712166000104;MG;Cordislândia;RGPS
17695016000169;MG;Corinto;RGPS
18085647000129;MG;Coroaci;RPPS
18591149000158;MG;Coromandel;RPPS
19875046000182;MG;Coronel Fabriciano;RPPS
18348722000105;MG;Coronel Murta;RGPS
18338152000164;MG;Coronel Pacheco;RGPS
18557546000103;MG;Coronel Xavier Chaves;RGPS
18298174000148;MG;Córrego Danta;RPPS
18677633000102;MG;Córrego do Bom Jesus;RGPS
01614862000177;MG;Córrego Fundo;RGPS
18334284000118;MG;Córrego Novo;RGPS
17754177000186;MG;Couto de Magalhães de Minas;RGPS
01614283000124;MG;Crisólita;RGPS
17888082000155;MG;Cristais;RGPS
18017434000160;MG;Cristália;RGPS
19718402000154;MG;Cristiano Otoni;RGPS
18188250000162;MG;Cristina;RGPS
18313007000129;MG;Crucilândia;RGPS
18468041000172;MG;Cruzeiro da Fortaleza;RPPS
18008904000129;MG;Cruzília;RGPS
01615422000134;MG;Cuparaque;RGPS
01613076000155;MG;Curral de Dentro;RGPS
17695024000105;MG;Curvelo;RGPS
17754193000179;MG;Datas;RGPS
18025924000108;MG;Delfim Moreira;RGPS
17894064000186;MG;Delfinópolis;RGPS
01020881000175;MG;Delta;RGPS
18558098000162;MG;Descoberto;RPPS
20356762000132;MG;Desterro de Entre Rios;RGPS
18094813000153;MG;Desterro do Melo;RGPS
17754136000190;MG;Diamantina;RPPS
18295311000190;MG;Diogo de Vasconcelos;RGPS
20126439000172;MG;Dionísio;RGPS
18128280000183;MG;Divinésia;RGPS
18114272000188;MG;Divino;RPPS
18357079000178;MG;Divino das Laranjeiras;RGPS
18307405000132;MG;Divinolândia de Minas;RGPS
18291351000164;MG;Divinópolis;RPPS
01613073000111;MG;Divisa Alegre;RGPS
18243279000108;MG;Divisa Nova;RGPS
66234311000123;MG;Divisópolis;RGPS
01602782000100;MG;Dom Bosco;RGPS
18080283000194;MG;Dom Cavati;RGPS
18303198000148;MG;Dom Joaquim;RGPS
18297226000161;MG;Dom Silvério;RGPS
18188268000164;MG;Dom Viçoso;RGPS
17706656000127;MG;Dona Euzébia;RGPS
18094821000108;MG;Dores de Campos;RGPS
18307413000189;MG;Dores de Guanhães;RGPS
18301010000122;MG;Dores do Indaiá;RPPS
18128249000142;MG;Dores do Turvo;RGPS
18306647000101;MG;Doresópolis;RGPS
18158261000108;MG;Douradoquara;RGPS
66232547000120;MG;Durandé;RGPS
20347225000126;MG;Elói Mendes;RGPS
18080655000182;MG;Engenheiro Caldas;RPPS
17697152000198;MG;Engenheiro Navarro;RGPS
66229626000182;MG;Entre Folhas;RGPS
20356747000194;MG;Entre Rios de Minas;RGPS
18133306000181;MG;Ervália;RGPS
18715466000139;MG;Esmeraldas;RGPS
18114264000131;MG;Espera Feliz;RPPS
18650952000116;MG;Espinosa;RPPS
18675900000102;MG;Espírito Santo do Dourado;RGPS
18675918000104;MG;Estiva;RGPS
17710096000184;MG;Estrela Dalva;RGPS
18301028000124;MG;Estrela do Indaiá;RPPS
18592162000121;MG;Estrela do Sul;RGPS
17947656000119;MG;Eugenópolis;RGPS
17747932000103;MG;Ewbank da Câmara;RGPS
18677591000100;MG;Extrema;RPPS
18243253000151;MG;Fama;RGPS
18114280000124;MG;Faria Lemos;RGPS
17754201000187;MG;Felício dos Santos;RGPS
18083071000160;MG;Felisburgo;RPPS
17695032000151;MG;Felixlândia;RPPS
18080887000130;MG;Fernandes Tourinho;RGPS
18299529000113;MG;Ferros;RGPS
26139790000184;MG;Fervedouro;RGPS
18313833000178;MG;Florestal;RPPS
16784720000125;MG;Formiga;RPPS
18125153000120;MG;Formoso;RGPS
18241760000156;MG;Fortaleza de Minas;RPPS
18116145000118;MG;Fortuna de Minas;RGPS
18051524000177;MG;Francisco Badaró;RGPS
16885485000188;MG;Francisco Dumont;RGPS
22681423000157;MG;Francisco Sá;RPPS
01613394000116;MG;Franciscópolis;RGPS
18404913000139;MG;Frei Gaspar;RGPS
16945990000170;MG;Frei Inocêncio;RGPS
01615008000125;MG;Frei Lagonegro;RGPS
18449140000107;MG;Fronteira;RGPS
18404954000125;MG;Fronteira dos Vales;RPPS
01612483000148;MG;Fruta de Leite;RGPS
18449132000160;MG;Frutal;RGPS
18062414000100;MG;Funilândia;RGPS
17005000000187;MG;Galiléia;RGPS
01612482000101;MG;Gameleiras;RGPS
01612496000117;MG;Glaucilândia;RGPS
01615421000190;MG;Goiabeira;RGPS
01611137000145;MG;Goianá;RGPS
18025932000154;MG;Gonçalves;RPPS
18307421000125;MG;Gonzaga;RGPS
17754144000136;MG;Gouveia;RGPS
20622890000180;MG;Governador Valadares;RPPS
18715615000160;MG;Governo do Estado de Minas Gerais;RPPS
20716627000150;MG;Grão Mogol;RGPS
17827858000127;MG;Grupiara;RGPS
18307439000127;MG;Guanhães;RPPS
18239616000185;MG;Guapé;RGPS
19382647000153;MG;Guaraciaba;RPPS
01612549000108;MG;Guaraciama;RGPS
17900473000148;MG;Guaranésia;RGPS
18338160000100;MG;Guarani;RPPS
17723172000196;MG;Guarará;RGPS
18277947000100;MG;Guarda-Mor;RGPS
18663401000197;MG;Guaxupé;RGPS
18128215000158;MG;Guidoval;RGPS
18602052000101;MG;Guimarânia;RPPS
18137943000126;MG;Guiricema;RPPS
18457192000125;MG;Gurinhatã;RPPS
18712133000156;MG;Heliodora;RPPS
18338830000199;MG;Iapu;RGPS
18094839000100;MG;Ibertioga;RGPS
18584961000156;MG;Ibiá;RGPS
16899700000108;MG;Ibiaí;RGPS
01612477000190;MG;Ibiracatu;RGPS
17894072000122;MG;Ibiraci;RGPS
18715490000178;MG;Ibirité;RPPS
18178962000109;MG;Ibitiúra de Minas;RGPS
18244418000100;MG;Ibituruna;RGPS
25224304000163;MG;Icaraí de Minas;RGPS
18715474000185;MG;Igarapé;RGPS
18313825000121;MG;Igaratinga;RPPS
18306688000106;MG;Iguatama;RPPS
18244400000108;MG;Ijaci;RGPS
18239608000139;MG;Ilicínea;RGPS
01613233000122;MG;Imbé de Minas;RGPS
18028829000168;MG;Inconfidentes;RGPS
01614599000116;MG;Indaiabira;RGPS
18259390000184;MG;Indianópolis;RGPS
18244319000128;MG;Ingaí;RGPS
20905865000104;MG;Inhapim;RGPS
18116152000110;MG;Inhaúma;RPPS
17694860000175;MG;Inimutaba;RGPS
66229543000193;MG;Ipaba;RGPS
18334292000164;MG;Ipanema;RGPS
19876424000142;MG;Ipatinga;RGPS
18457259000121;MG;Ipiaçu;RPPS
18179226000167;MG;Ipuiúna;RGPS
18158642000189;MG;Iraí de Minas;RGPS
18299446000124;MG;Itabira;RPPS
17125444000156;MG;Itabirinha;RGPS
18307835000154;MG;Itabirito;RGPS
18017400000175;MG;Itacambira;RGPS
18283101000182;MG;Itacarambi;RPPS
18313015000175;MG;Itaguara;RGPS
18404756000161;MG;Itaipé;RGPS
18025940000109;MG;Itajubá;RGPS
16886871000194;MG;Itamarandiba;RPPS
17706813000102;MG;Itamarati de Minas;RGPS
18404855000143;MG;Itambacuri;RGPS
18299537000160;MG;Itambé do Mato Dentro;RGPS
18241380000111;MG;Itamogi;RGPS
18666750000162;MG;Itamonte;RPPS
18186718000180;MG;Itanhandu;RGPS
18493239000106;MG;Itanhomi;RGPS
18414573000127;MG;Itaobim;RGPS
21226840000147;MG;Itapagipe;RPPS
18308742000144;MG;Itapecerica;RGPS
18677625000158;MG;Itapeva;RPPS
18691766000125;MG;Itatiaiuçu;RGPS
23767031000178;MG;Itaú de Minas;RGPS
18309724000187;MG;Itaúna;RPPS
19718386000108;MG;Itaverava;RGPS
18348748000145;MG;Itinga;RGPS
18413179000174;MG;Itueta;RGPS
18457218000135;MG;Ituiutaba;RPPS
18244392000108;MG;Itumirim;RGPS
18457242000174;MG;Iturama;RGPS
18244384000153;MG;Itutinga;RGPS
18715417000104;MG;Jaboticatubas;RGPS
18349910000140;MG;Jacinto;RGPS
18186056000148;MG;Jacuí;RGPS
17914128000163;MG;Jacutinga;RGPS
16816522000104;MG;Jaguaraçu;RGPS
25209149000106;MG;Jaíba;RGPS
66230384000147;MG;Jampruca;RGPS
18017392000167;MG;Janaúba;RPPS
21461546000110;MG;Januária;RPPS
18306654000103;MG;Japaraíba;RPPS
01612476000146;MG;Japonvar;RPPS
20356739000148;MG;Jeceaba;RGPS
01613376000134;MG;Jenipapo de Minas;RGPS
18316166000187;MG;Jequeri;RPPS
18279083000165;MG;Jequitaí;RGPS
18062208000109;MG;Jequitibá;RGPS
18083659000114;MG;Jequitinhonha;RGPS
18188227000178;MG;Jesuânia;RGPS
18495812000110;MG;Joaíma;RGPS
17111626000178;MG;Joanésia;RGPS
18401059000157;MG;João Monlevade;RGPS
16930299000113;MG;João Pinheiro;RPPS
17694878000177;MG;Joaquim Felício;RGPS
18349928000141;MG;Jordânia;RGPS
01613372000156;MG;José Gonçalves de Minas;RGPS
01613072000177;MG;José Raydan;RGPS
01612503000180;MG;Josenópolis;RPPS em Extinção
64487614000122;MG;Juatuba;RPPS
18338178000102;MG;Juiz de Fora;RPPS
18017368000128;MG;Juramento;RPPS
18668368000198;MG;Juruaia;RPPS
01612485000137;MG;Juvenília;RGPS
18404863000190;MG;Ladainha;RGPS
18192260000171;MG;Lagamar;RGPS
18318618000160;MG;Lagoa da Prata;RGPS
16901381000110;MG;Lagoa dos Patos;RGPS
18557595000146;MG;Lagoa Dourada;RGPS
18602078000141;MG;Lagoa Formosa;RPPS
23097454000128;MG;Lagoa Grande;RGPS
73357469000156;MG;Lagoa Santa;RGPS
18392522000141;MG;Lajinha;RGPS
17877200000120;MG;Lambari;RPPS
24179426000112;MG;Lamim;RGPS
17947615000122;MG;Laranjal;RGPS
18279125000168;MG;Lassance;RGPS
18244376000107;MG;Lavras;RPPS
18315218000109;MG;Leandro Ferreira;RPPS
01587109000130;MG;Leme do Prado;RPPS
17733643000147;MG;Leopoldina;RGPS
18029165000151;MG;Liberdade;RPPS
18338186000159;MG;Lima Duarte;RGPS
26042556000134;MG;Limeira do Oeste;RGPS
25223009000192;MG;Lontra;RGPS
01615423000189;MG;Luisburgo;RGPS
01612887000131;MG;Luislândia;RGPS
18244301000126;MG;Luminárias;RGPS
18301036000170;MG;Luz;RGPS
18404921000185;MG;Machacalis;RGPS
18242784000120;MG;Machado;RGPS
18029371000161;MG;Madre de Deus de Minas;RGPS
18404871000136;MG;Malacacheta;RPPS
25212242000170;MG;Mamonas;RGPS
18270447000146;MG;Manga;RGPS
18385088000172;MG;Manhuaçu;RGPS
18392530000198;MG;Manhumirim;RGPS
18504167000155;MG;Mantena;RPPS
18535658000163;MG;Mar de Espanha;RGPS
18313841000114;MG;Maravilhas;RGPS
18025957000158;MG;Maria da Fé;RGPS
18295303000144;MG;Mariana;RPPS
18409193000102;MG;Marilac;RGPS
01612508000103;MG;Mário Campos;RGPS
17724162000175;MG;Maripá de Minas;RGPS
16796872000148;MG;Marliéria;RGPS
18026021000141;MG;Marmelópolis;RGPS
18315234000193;MG;Martinho Campos;RGPS
01615420000145;MG;Martins Soares;RGPS
66234360000166;MG;Mata Verde;RGPS
18303206000156;MG;Materlândia;RGPS
18715433000199;MG;Mateus Leme;RGPS
18332619000169;MG;Mathias Lobato;RGPS
18338194000103;MG;Matias Barbosa;RGPS
25209115000111;MG;Matias Cardoso;RGPS
18385104000127;MG;Matipó;RGPS
17782616000164;MG;Mato Verde;RGPS
18771238000186;MG;Matozinhos;RGPS
18602102000142;MG;Matutina;RGPS
20920617000132;MG;Medeiros;RGPS
18414607000183;MG;Medina;RGPS
18505347000151;MG;Mendes Pimentel;RGPS
17744442000145;MG;Mercês;RPPS
17112061000143;MG;Mesquita;RGPS
22516405000110;MG;Minas Novas;RGPS
17954041000110;MG;Minduri;RPPS
18017376000174;MG;Mirabela;RGPS
17947623000179;MG;Miradouro;RGPS
17966201000140;MG;Miraí;RPPS
01612491000194;MG;Miravânia;RGPS
18363952000135;MG;Moeda;RGPS
18301044000117;MG;Moema;RGPS
17754169000130;MG;Monjolos;RGPS
22541874000199;MG;Monsenhor Paulo;RGPS
17097791000112;MG;Montalvânia;RGPS
18431155000148;MG;Monte Alegre de Minas;RPPS
18650945000114;MG;Monte Azul;RGPS
18668376000134;MG;Monte Belo;RPPS
18593103000178;MG;Monte Carmelo;RGPS
01615007000180;MG;Monte Formoso;RGPS
18241372000175;MG;Monte Santo de Minas;RGPS
22646525000131;MG;Monte Sião;RGPS
22678874000135;MG;Montes Claros;RPPS
25223983000156;MG;Montezuma;RGPS
18296665000150;MG;Morada Nova de Minas;RPPS
17695040000106;MG;Morro da Garça;RGPS
18303214000100;MG;Morro do Pilar;RGPS
18675934000199;MG;Munhoz;RGPS
17947581000176;MG;Muriaé;RPPS
18348086000103;MG;Mutum;RGPS
18668624000147;MG;Muzambinho;RPPS
18507079000107;MG;Nacip Raydan;RGPS
18398974000130;MG;Nanuque;RPPS
01613208000149;MG;Naque;RGPS
01593752000176;MG;Natalândia;RGPS
17935412000116;MG;Natércia;RGPS
18557561000151;MG;Nazareno;RGPS
18244350000169;MG;Nepomuceno;RGPS
01612495000172;MG;Ninheira;RGPS
01613169000180;MG;Nova Belém;RGPS
16819831000120;MG;Nova Era;RGPS
22934889000117;MG;Nova Lima;RGPS
18404939000187;MG;Nova Módica;RGPS
18159905000174;MG;Nova Ponte;RPPS
01612499000150;MG;Nova Porteirinha;RGPS
18187823000133;MG;Nova Resende;RPPS
18291385000159;MG;Nova Serrana;RPPS
18302307000102;MG;Nova União;RGPS
18404889000138;MG;Novo Cruzeiro;RGPS
01613373000109;MG;Novo Oriente de Minas;RGPS
01616420000160;MG;Novorizonte;RGPS
18338202000103;MG;Olaria;RPPS
01612547000100;MG;Olhos d'Água;RGPS
18188276000100;MG;Olímpio Noronha;RPPS
16854531000181;MG;Oliveira;RPPS
17747957000107;MG;Oliveira Fortes;RGPS
18313858000171;MG;Onça de Pitangui;RPPS
01616836000188;MG;Oratórios;RGPS
01616271000139;MG;Orizânia;RGPS
18295329000192;MG;Ouro Branco;RGPS
18671271000134;MG;Ouro Fino;RGPS
18295295000136;MG;Ouro Preto;RGPS
18404947000123;MG;Ouro Verde de Minas;RGPS
01612490000140;MG;Padre Carvalho;RGPS
18404764000108;MG;Padre Paraíso;RPPS
01612479000180;MG;Pai Pedro;RGPS
18296673000104;MG;Paineiras;RPPS
20920575000130;MG;Pains;RGPS
17747965000145;MG;Paiva;RGPS
17734906000132;MG;Palma;RGPS
66234345000118;MG;Palmópolis;RGPS
18313866000118;MG;Papagaios;RGPS
18313817000185;MG;Pará de Minas;RPPS
18278051000145;MG;Paracatu;RPPS
18008193000192;MG;Paraguaçu;RPPS
18025965000102;MG;Paraisópolis;RGPS
18116160000166;MG;Paraopeba;RPPS
23245806000145;MG;Passa Quatro;RPPS
18039503000136;MG;Passa Tempo;RPPS
18338210000150;MG;Passa Vinte;RGPS
18299511000111;MG;Passabém;RGPS
18241745000108;MG;Passos;RGPS
01612478000135;MG;Patis;RPPS
18602011000107;MG;Patos de Minas;RPPS
18468033000126;MG;Patrocínio;RPPS
17947607000186;MG;Patrocínio do Muriaé;RGPS
17763715000107;MG;Paula Cândido;RGPS
18307447000173;MG;Paulistas;RPPS
18404772000154;MG;Pavão;RGPS
18409227000150;MG;Peçanha;RGPS
18414565000180;MG;Pedra Azul;RGPS
01640429000106;MG;Pedra Bonita;RGPS
18133439000158;MG;Pedra do Anta;RGPS
18308759000100;MG;Pedra do Indaiá;RGPS
18114215000107;MG;Pedra Dourada;RGPS
18025973000140;MG;Pedralva;RGPS
25209156000108;MG;Pedras de Maria da Cruz;RPPS
18140335000170;MG;Pedrinópolis;RPPS
23456650000141;MG;Pedro Leopoldo;RGPS
18338228000151;MG;Pedro Teixeira;RGPS
17724360000139;MG;Pequeri;RGPS
18313874000164;MG;Pequi;RPPS
18301051000119;MG;Perdigão;RPPS
18140772000194;MG;Perdizes;RPPS
18244343000167;MG;Perdões;RPPS
01613077000108;MG;Periquito;RGPS
18404962000171;MG;Pescador;RGPS
18338236000106;MG;Piau;RPPS
01613130000162;MG;Piedade de Caratinga;RGPS
18316257000112;MG;Piedade de Ponte Nova;RGPS
18685438000116;MG;Piedade do Rio Grande;RGPS
18363960000181;MG;Piedade dos Gerais;RGPS
16725962000148;MG;Pimenta;RGPS
01613204000160;MG;Pingo d'Água;RGPS
01612481000159;MG;Pintópolis;RPPS
17980392000103;MG;Piracema;RPPS
18428847000137;MG;Pirajuba;RPPS
23515687000101;MG;Piranga;RPPS
18025981000197;MG;Piranguçu;RGPS
18192906000110;MG;Piranguinho;RGPS
18092825000149;MG;Pirapetinga;RGPS
23539463000121;MG;Pirapora;RPPS
18554147000199;MG;Piraúba;RGPS
18315226000147;MG;Pitangui;RPPS
16781346000104;MG;Piumhi;RGPS
18449157000164;MG;Planura;RGPS
18242792000176;MG;Poço Fundo;RPPS
18629840000183;MG;Poços de Caldas;RGPS
18334318000174;MG;Pocrane;RGPS
18296681000142;MG;Pompéu;RPPS
23804149000129;MG;Ponte Nova;RGPS
01612500000147;MG;Ponto Chique;RGPS
01613377000189;MG;Ponto dos Volantes;RGPS
18013326000119;MG;Porteirinha;RGPS
18567354000188;MG;Porto Firme;RGPS
18404970000118;MG;Poté;RGPS
18675983000121;MG;Pouso Alegre;RPPS
18667212000192;MG;Pouso Alto;RGPS
18557538000167;MG;Prados;RGPS
18260505000150;MG;Prata;RGPS
18241356000182;MG;Pratápolis;RGPS
18585570000156;MG;Pratinha;RPPS
23515695000140;MG;Presidente Bernardes;RGPS
17695057000155;MG;Presidente Juscelino;RGPS
17754185000122;MG;Presidente Kubitschek;RGPS
18602060000140;MG;Presidente Olegário;RPPS
18314625000193;MG;Prudente de Morais;RGPS
18296699000144;MG;Quartel Geral;RPPS
19718410000109;MG;Queluzito;RGPS
18312132000114;MG;Raposos;RGPS
18836965000184;MG;Raul Soares;RGPS
17735754000192;MG;Recreio;RGPS
01614977000161;MG;Reduto;RGPS
17749912000163;MG;Resende Costa;RPPS
18413161000172;MG;Resplendor;RGPS
18094847000148;MG;Ressaquinha;RGPS
25222118000195;MG;Riachinho;RPPS
16925208000151;MG;Riacho dos Machados;RGPS
18314609000109;MG;Ribeirão das Neves;RGPS
18244087000108;MG;Ribeirão Vermelho;RGPS
18312108000185;MG;Rio Acima;RPPS
18836957000138;MG;Rio Casca;RGPS
18349936000198;MG;Rio do Prado;RGPS
18316265000169;MG;Rio Doce;RGPS
24179665000172;MG;Rio Espera;RGPS
18363978000183;MG;Rio Manso;RGPS
18338244000144;MG;Rio Novo;RGPS
18602045000100;MG;Rio Paranaíba;RPPS
24212862000146;MG;Rio Pardo de Minas;RGPS
18400945000166;MG;Rio Piracicaba;RGPS
17744434000107;MG;Rio Pomba;RGPS
18338251000146;MG;Rio Preto;RGPS
18303255000199;MG;Rio Vermelho;RGPS
18557553000105;MG;Ritápolis;RGPS
18558080000160;MG;Rochedo de Minas;RPPS
18128256000144;MG;Rodeiro;RGPS
18160044000144;MG;Romaria;RGPS
01616837000122;MG;Rosário da Limeira;RPPS
24363590000185;MG;Rubelita;RGPS
18349944000134;MG;Rubim;RGPS
18715441000135;MG;Sabará;RPPS
18307454000175;MG;Sabinópolis;RPPS
18140764000148;MG;Sacramento;RGPS
24359333000170;MG;Salinas;RGPS
18347401000188;MG;Salto da Divisa;RGPS
19391945000100;MG;Santa Bárbara;RGPS
66229634000129;MG;Santa Bárbara do Leste;RGPS
01611138000190;MG;Santa Bárbara do Monte Verde;RGPS
18094854000140;MG;Santa Bárbara do Tugúrio;RGPS
01615371000140;MG;Santa Cruz de Minas;RGPS
01612497000161;MG;Santa Cruz de Salinas;RGPS
18316273000105;MG;Santa Cruz do Escalvado;RGPS
18307462000111;MG;Santa Efigênia de Minas;RGPS
18279075000119;MG;Santa Fé de Minas;RPPS em Extinção
01613395000160;MG;Santa Helena de Minas;RGPS
18140780000130;MG;Santa Juliana;RPPS
18715409000150;MG;Santa Luzia;RPPS
18385112000173;MG;Santa Margarida;RGPS
18299453000126;MG;Santa Maria de Itabira;RGPS
18347419000180;MG;Santa Maria do Salto;RGPS
18409219000104;MG;Santa Maria do Suaçuí;RPPS em Extinção
17857442000151;MG;Santa Rita de Caldas;RGPS
18094862000196;MG;Santa Rita de Ibitipoca;RGPS
18338269000148;MG;Santa Rita de Jacutinga;RGPS
