CNPJ;UF;Ente Federativo;Regime
04262432000121;AM;Coari;RPPS
04263331000175;AM;Codajás;RGPS
04190765000192;AM;Eirunepé;RGPS
04530895000127;AM;Envira;RPPS
04530101000125;AM;Fonte Boa;RPPS
04312369000190;AM;Governo do Estado do Amazonas;RPPS
22812242000112;AM;Guajará;RGPS
04465209000181;AM;Humaitá;RPPS
04191078000191;AM;Ipixuna;RGPS
04628533000173;AM;Iranduba;RPPS
04241980000175;AM;Itacoatiara;RPPS
04628376000104;AM;Itamarati;RGPS
04495644000159;AM;Itapiranga;RGPS
04505509000147;AM;Japurá;RGPS
04588596000143;AM;Juruá;RGPS
04285896000153;AM;Jutaí;RGPS
05830872000109;AM;Lábrea;RPPS
04274064000131;AM;Manacapuru;RPPS
04641551000195;AM;Manaquiri;RPPS
04365326000173;AM;Manaus;RPPS
04197166000109;AM;Manicoré;RPPS
04505640000104;AM;Maraã;RPPS
04282869000127;AM;Maués;RPPS
04283578000153;AM;Nhamundá;RPPS
04477600000104;AM;Nova Olinda do Norte;RGPS
04533113000103;AM;Novo Airão;RGPS
04278818000121;AM;Novo Aripuanã;RGPS
04329736000169;AM;Parintins;RGPS
04530135000110;AM;Pauini;RGPS
04628681000198;AM;Presidente Figueiredo;RPPS
04629697000115;AM;Rio Preto da Eva;RPPS
04194239000109;AM;Santa Isabel do Rio Negro;RGPS
04532057000192;AM;Santo Antônio do Içá;RGPS
04272670000118;AM;São Gabriel da Cachoeira;RGPS
05829577000124;AM;São Paulo de Olivença;RGPS
04628418000107;AM;São Sebastião do Uatumã;RGPS
04477634000190;AM;Silves;RGPS
04011805000191;AM;Tabatinga;RPPS
04530390000162;AM;Tapauá;RGPS
04426383000115;AM;Tefé;RGPS
04628608000116;AM;Tonantins;RGPS
04647079000106;AM;Uarini;RGPS
04477782000105;AM;Urucará;RPPS
04502571000185;AM;Urucurituba;RGPS
05989116000119;AP;Amapá;RGPS
05990437000133;AP;Calçoene;RGPS
34925198000136;AP;Cutias;RGPS
23066814000124;AP;Ferreira Gomes;RGPS
00394577000125;AP;Governo do Estado do Amapá;RPPS
34925214000190;AP;Itaubal;RGPS
23066905000160;AP;Laranjal do Jari;RGPS
05995766000177;AP;Macapá;RPPS
05986427000124;AP;Mazagão;RPPS
05990445000180;AP;Oiapoque;RGPS
34925131000100;AP;Pedra Branca do Amaparí (antigo Amaparí);RGPS
34925206000144;AP;Porto Grande;RGPS
34925222000137;AP;Pracuúba;RGPS
23066640000108;AP;Santana;RPPS
34925230000183;AP;Serra do Navio;RGPS
23066632000153;AP;Tartarugalzinho;RGPS
00720553000119;AP;Vitória do Jari;RGPS
13670021000166;BA;Abaíra;RGPS
13915657000120;BA;Abaré;RGPS
13696521000177;BA;Acajutiba;RGPS
16298929000189;BA;Adustina;RGPS
13606702000165;BA;Água Fria;RGPS
13769609000171;BA;Aiquara;RGPS
13646005000138;BA;Alagoinhas;RGPS
13761721000166;BA;Alcobaça;RGPS
14147466000129;BA;Almadina;RGPS
13825484000150;BA;Amargosa;RGPS
13607213000128;BA;Amélia Rodrigues;RGPS
13891536000196;BA;América Dourada;RGPS
13906409000113;BA;Anagé;RGPS
13922570000180;BA;Andaraí;RGPS
16448870000168;BA;Andorinha;RGPS
13654421000188;BA;Angical;RGPS
13607346000102;BA;Anguera;RGPS
13808217000174;BA;Antas;RGPS
13607494000119;BA;Antônio Cardoso;RGPS
13908728000168;BA;Antônio Gonçalves;RPPS
13646542000188;BA;Aporá;RGPS
16434292000100;BA;Apuarema;RGPS
16131088000110;BA;Araças;RGPS
14105712000180;BA;Aracatu;RGPS
14232086000192;BA;Araci;RGPS
13646740000141;BA;Aramari;RGPS
13658158000103;BA;Arataca;RGPS
13796073000183;BA;Aratuípe;RGPS
16137291000102;BA;Aurelino Leal;RGPS
13654413000131;BA;Baianópolis;RGPS
13794912000124;BA;Baixa Grande;RGPS
16298614000131;BA;Banzaê;RGPS
13880703000101;BA;Barra;RGPS
13670658000152;BA;Barra da Estiva;RGPS
13906789000196;BA;Barra do Choça;RGPS
13702238000100;BA;Barra do Mendes;RGPS
14234850000169;BA;Barra do Rocha;RGPS
13654405000195;BA;Barreiras;RGPS
13234349000130;BA;Barro Alto;RGPS
14147458000182;BA;Barro Preto (antigo Governador Lomanto Júnior);RGPS
04216287000142;BA;Barrocas;RGPS
13634977000102;BA;Belmonte;RGPS
14237333000143;BA;Belo Campo;RGPS
13835558000139;BA;Biritinga;RGPS
13894894000152;BA;Boa Nova;RGPS
13718176000125;BA;Boa Vista do Tupim;RGPS
14105183000114;BA;Bom Jesus da Lapa;RGPS
16418709000141;BA;Bom Jesus da Serra;RGPS
13922612000183;BA;Boninal;RGPS
16245375000151;BA;Bonito;RPPS
13780770000146;BA;Boquira;RGPS
13782479000107;BA;Botuporã;RGPS
14197768000101;BA;Brejões;RGPS
13654439000180;BA;Brejolândia;RGPS
13797600000174;BA;Brotas de Macaúbas;RGPS
14105704000133;BA;Brumado;RGPS
13721188000109;BA;Buerarema;RGPS
13234000000106;BA;Buritirama;RGPS
13856372000166;BA;Caatiba;RGPS
13866892000150;BA;Cabaceiras do Paraguaçu;RGPS
13828397000156;BA;Cachoeira;RGPS
13676788000100;BA;Caculé;RGPS
13913348000111;BA;Caém;RGPS
16418717000198;BA;Caetanos;RGPS
13811476000154;BA;Caetité;RGPS
13714142000162;BA;Cafarnaum;RGPS
14235907000144;BA;Cairu;RGPS
13913355000113;BA;Caldeirão Grande;RPPS
13682398000135;BA;Camacan;RGPS
14109763000180;BA;Camaçari;RPPS
13753306000160;BA;Camamu;RGPS
14117329000141;BA;Campo Alegre de Lourdes;RGPS
13908702000110;BA;Campo Formoso;RPPS
13812144000194;BA;Canápolis;RGPS
13714464000101;BA;Canarana;RGPS
13817804000120;BA;Canavieiras;RGPS
13607635000101;BA;Candeal;RGPS
13830336000123;BA;Candeias;RGPS
13982608000100;BA;Candiba;RGPS
13857123000195;BA;Cândido Sales;RGPS
13806567000100;BA;Cansanção;RGPS
13343967000118;BA;Canudos;RGPS
13897111000194;BA;Capela do Alto Alegre;RPPS
13230982000150;BA;Capim Grosso;RGPS
16418766000120;BA;Caraíbas;RPPS
13761689000119;BA;Caravelas;RGPS
14126254000165;BA;Cardeal da Silva;RGPS
14105209000124;BA;Carinhanha;RGPS
13691811000128;BA;Casa Nova;RGPS
13693122000152;BA;Castro Alves;RGPS
13654447000126;BA;Catolândia;RGPS
13800685000100;BA;Catu;RGPS
16257719000142;BA;Caturama;RGPS
14136816000151;BA;Central;RGPS
13915665000177;BA;Chorrochó;RGPS
13808613000100;BA;Cícero Dantas;RGPS
13808936000195;BA;Cipó;RGPS
14147474000175;BA;Coaraci;RGPS
14222012000175;BA;Cocos;RGPS
13828371000108;BA;Conceição da Feira;RGPS
13695028000132;BA;Conceição do Almeida;RGPS
13843842000157;BA;Conceição do Coité;RGPS
14222574000119;BA;Conceição do Jacuípe;RGPS
14126692000123;BA;Conde;RGPS
13694138000180;BA;Condeúba;RGPS
14106553000138;BA;Contendas do Sincorá;RGPS
13883996000172;BA;Coração de Maria;RPPS
13694468000175;BA;Cordeiros;RGPS
13912084000181;BA;Coribe;RGPS
